fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
12061,FL,0.7,0.83,2.389,2.908,7.228,0.152,0.186,0.461
12063,FL,0.43,1,2.153,2.717,11.036,0.373,0.47,1.91
12069,FL,0.8,0.66,2.53,3.203,9.484,0.292,0.369,1.093
12071,FL,0.83,0.83,2.507,3.116,8.764,0.187,0.232,0.653
12073,FL,0.84,0.86,2.95,3.897,22.041,0.246,0.325,1.839
12075,FL,,,0,0,0,0,0,0
12079,FL,0.53,,0.81,1.021,3.949,0,0,0
12081,FL,0.87,0.9,1.996,2.496,7.285,0.16,0.2,0.582
12083,FL,0.83,0.91,2.503,3.145,8.649,0.253,0.318,0.874
12085,FL,0.5,0.31,3.045,3.719,9.861,0.242,0.296,0.785
12086,FL,0.82,0.89,3.22,4.157,19.843,0.363,0.468,2.236
12087,FL,0.84,1,1.546,1.854,6.718,0.12,0.144,0.521
12089,FL,0.53,0.62,0.792,1.011,3.571,0.093,0.119,0.42
12091,FL,0.87,0.89,2.2,2.905,13.739,0.261,0.344,1.627
12093,FL,0.57,1,2.407,3.149,12.168,0.193,0.252,0.973
12095,FL,0.8,0.81,3.151,4.201,26.398,0.269,0.359,2.257
12097,FL,0.76,0.77,3.16,4.331,23.928,0.37,0.506,2.798
12099,FL,0.72,0.75,2.808,3.565,11.743,0.285,0.361,1.191
12101,FL,0.79,0.88,2.633,3.392,11.638,0.237,0.306,1.048
12103,FL,0.82,0.88,2.941,3.581,11.869,0.308,0.375,1.242
12105,FL,0.8,0.89,2.316,3.069,11.457,0.219,0.29,1.083
12107,FL,0.75,1,1.133,1.479,4.883,0.135,0.176,0.581
12113,FL,0.45,0.61,1.935,2.548,12.114,0.128,0.169,0.803
12115,FL,0.82,0.65,2.838,3.372,7.738,0.26,0.309,0.709
12117,FL,0.79,0.86,1.979,2.576,12.767,0.156,0.203,1.006
12109,FL,0.61,0.5,1.302,1.715,6.43,0.173,0.228,0.855
12111,FL,0.83,0.88,2.771,3.542,11.483,0.28,0.358,1.161
12119,FL,0.73,0.75,2.695,2.921,4.68,0.311,0.337,0.539
12121,FL,,,0,0,0,0,0,0
12123,FL,0.33,,0.555,0.71,2.715,0,0,0
12125,FL,0.42,,8.501,10.86,56.772,0,0,0
12127,FL,0.7,0.82,2.856,3.573,11.695,0.418,0.523,1.712
12131,FL,0.63,0.7,1.639,2.097,7.972,0.322,0.412,1.567
12133,FL,0.75,,2.371,3.037,13.523,0,0,0
13001,GA,0.21,,1.837,2.516,10.662,0.162,0.222,0.941
13005,GA,0.55,0.4,2.235,3.089,13.935,0.358,0.494,2.23
13009,GA,0.3,0.71,2.186,2.917,13.655,0.268,0.357,1.672
13013,GA,0.18,0.36,0.693,0.964,5.568,0.074,0.103,0.597
13015,GA,0.79,0.72,1.118,1.519,7.978,0.197,0.268,1.408
13017,GA,0.22,,2.859,3.918,16.332,0.298,0.408,1.701
13019,GA,0.04,,2.649,3.599,15.492,0,0,0
13021,GA,0.76,0.92,6.48,8.938,41.548,0.751,1.036,4.817
13023,GA,0.86,,1.168,1.598,6.935,0,0,0
13027,GA,0.62,,1.612,2.113,8.127,0,0,0
13031,GA,0.68,0.75,2.355,3.25,20.542,0.31,0.429,2.709
13033,GA,0.07,,1.784,2.49,11.438,0,0,0
13035,GA,0.52,,1.033,1.344,6.645,0,0,0
13039,GA,0.55,0.39,0.745,1.019,5.465,0.093,0.127,0.683
13043,GA,0.31,0.05,2.307,3.173,12.807,0.554,0.761,3.074
13045,GA,0.77,0.82,1.668,2.302,12.251,0.237,0.327,1.741
13047,GA,0.11,,0.534,0.714,3.012,0,0,0
13051,GA,0.77,0.84,4.392,5.811,28.553,0.27,0.357,1.754
13053,GA,,,0,0,0,0,0,0
13057,GA,1,,0.449,0.613,3.222,0.059,0.081,0.424
13059,GA,0.73,0.59,4.429,5.862,40.404,0.817,1.081,7.45
13063,GA,0.69,0.66,1.903,2.744,20.41,0.117,0.169,1.259
13065,GA,0.46,,2.256,3.119,13.928,0,0,0
13067,GA,0.78,0.83,1.654,2.24,13.495,0.157,0.213,1.283
13069,GA,0.56,0.69,1.996,2.742,14.503,0.232,0.319,1.686
13071,GA,0.63,0.74,2.062,2.885,13.326,0.219,0.307,1.418
13075,GA,0.08,,1.923,2.649,11.624,0,0,0
13077,GA,0.75,0.62,1.714,2.344,12.351,0.158,0.216,1.136
13081,GA,0.54,0.63,2.876,3.903,15.414,0.708,0.961,3.794
13083,GA,,,2.219,2.883,11.494,0,0,0
13089,GA,0.74,0.57,2.521,3.379,20.261,0.367,0.493,2.954
13087,GA,0.21,0.29,3.01,4.128,18.574,0.376,0.516,2.322
13091,GA,0.36,0.44,1.932,2.473,10.704,0.29,0.371,1.606
